kata,disgust,anger,fear,surprise,anticipation,joy,sadness
serakah,1,0,0,0,0,0,0
maruk,1,0,0,0,0,0,0
korup,1,0,0,0,0,0,0
rezim,0,1,0,0,0,0,0
deforestasi,1,0,0,0,0,0,0
sadis,0,0,1,0,0,0,0
rawan,0,0,1,0,0,0,0
muak,1,0,0,0,0,0,0
eneg,1,0,0,0,0,0,0
bobrok,1,0,0,0,0,0,0
bejat,1,0,0,0,0,0,0
licik,1,0,0,0,0,0,0
brutal,1,0,0,0,0,0,0
busuk,1,0,0,0,0,0,0
dzolim,1,0,0,0,0,0,0
laknat,1,0,0,0,0,0,0
cemar,1,0,0,0,0,0,0
edan,0,0,0,1,0,0,0
wtf,0,0,0,1,0,0,0
pulih,0,0,0,0,1,0,0
upaya,0,0,0,0,1,0,0
benah,0,0,0,0,1,0,0
top,0,0,0,0,0,1,0
sengsara,0,0,0,0,0,0,1
ironis,0,0,0,0,0,0,1
