aja,saja
agax,agak
akn,akan
aku,saya
ak,saya
amien,aamiin
amin,aamiin
ampe,sampai
and,dan
anda,kamu
ane,saya
asla,asal
ap,apa
aps,apa
aq,saya
bag,bagian
banget,sangat
bangsan,bangsa
bbm,bahan bakar minyak
beud,sangat
bgmn,bagaimana
bgt,sangat
bkan,bukan
bl,bila
blg,bilang
blh,boleh
blm,belum
blm,belum
blom,belum
blum,belum
bner,benar
bncana,bencana
bpk,bapak
bp,bapak
bnyk,banyak
bnyak,banyak
byk,banyak
bs,bisa
bsa,bisa
bsk,besok
cb,coba
cm,hanya
cma,hanya
cuma,hanya
d,di
dak,tidak
dg,dengan
dgn,dengan
dlm,dalam
dn,dan
dng,dengan
dsna,di sana
dpt,dapat
dr,dari
dr,dari
drpd,daripada
dsar,dasar
dasr,dasar
dy,dia
dya,dia
en,dan
enggak,tidak
ente,kamu
fihak,pihak
g,tidak
ga,tidak
gakuat,tidak kuat
gak,tidak
gitu,begitu
gk,tidak
glodongan,gelondong
gt,begitu
gtau,tidak tahu
gua,saya
gub,gubernur
gue,saya
gw,saya
hny,hanya
hnya,hanya
hrs,harus
hrs,harus
hrus,harus
insaallah,insyaa allah
insallah,insyaa allah
insyaallah,insyaa allah
insyallah,insyaa allah
indo,indonesia
iye,iya
ja,saja
jd,jadi
jdi,jadi
jg,juga
jga,juga
jgn,jangan
jgn,jangan
jangsn,jangan
jngan,jangan
jagan,jangan
jlas,jelas
jls,jelas
jng,jangan
k,ke
kalo,kalau
karna,karena
kau,kamu
kayak,seperti
kl,kalau
klh,kalah
klo,kalau
klu,kalau
klw,kalau
klau,kalau
km,kamu
knapa,kenapa
knp,kenapa
ko,kok
kog,kok
koq,kok
kpada,kepada
kpd,kepada
kpd,kepada
kpn,kapan
kreatip,kreatif
krn,karena
ktm,ketemu
kya,seperti
lbh,lebih
lbih,lebih
lg,lagi
lgsg,langsung
lht,lihat
liat,lihat
liatin,lihat
lngsng,langsung
loe,kamu
loh,lho
lputan,liputan
lu,kamu
lw,kamu
ma,sama
macem,macam
maslah,masalah
med,selamat
mentri,menteri
met,selamat
mjd,menjadi
mksd,maksud
mngalami,mengalami
mngubah,mengubah
mnjadi,menjadi
mntri,menteri
mo,mau
mw,mau
n,dan
n,dan
napa,kenapa
ndak,tidak
ngak,tidak
ngk,tidak
np,kenapa
ntn,nonton
negri,negeri
ogut,saya
ok,oke
okay,oke
olh,oleh
org,orang
orsng,orang
parpol,partai
pd,pada
pdhl,padahal
plh,pilih
poling,polling
prbndngan,perbandingan
president,presiden
prnh,pernah
py,punya
rakyt,rakyat
rkyat,rakyat
rkyt,rakyat
rmh,rumah
sawet,sawit
sbg,sebagai
sdah,sudah
sdara,saudara
sdh,sudah
sdh,sudah
sdm,sumber daya manusia
se7,setuju
stuju,setuju
selompok,kelompok
sgt,sangat
skp,sikap
skrng,sekarang
skr,sekarang
slah,salah
slera,selera
slh,salah
sm,sama
sm,sama
sngt,sangat
sodara,saudara
spt,seperti
ssh,susah
support,dukung
suber,sumber
sy,saya
t4,tempat
tnaman,tanaman
tdk,tidak
terjngkau,terjangkau
th,tahun
thun,tahun
trs,terus
ttg,tentang
tuit,tweet
tuwir,tua
tuk,untuk
tp,tapi
udah,sudah
udh,sudah
utk,untuk
utk,untuk
w,saya
wa,saya
y,ya
ysng,yang
yg,yang
yng,yang
endonesa,indonesia
ia,dia
